City,Year,Month,Day,pm25
BATON ROUGE / CAPITOL 001,2011,8,26,189
BATON ROUGE / CAPITOL 001,2011,8,27,160
BATON ROUGE / CAPITOL 001,2011,8,28,140
BATON ROUGE / CAPITOL 001,2011,8,29,123
BATON ROUGE / CAPITOL 001,2011,8,30,323
BATON ROUGE / CAPITOL 001,2011,8,31,348
BATON ROUGE / CAPITOL 001,2011,9,1,62
BATON ROUGE / CAPITOL 001,2011,9,2,39
BATON ROUGE / CAPITOL 001,2011,9,3,16
BATON ROUGE / CAPITOL 001,2011,9,4,16
BATON ROUGE / CAPITOL 001,2011,9,5,68
BATON ROUGE / CAPITOL 001,2011,9,6,81
BATON ROUGE / CAPITOL 001,2011,9,7,78
BATON ROUGE / CAPITOL 001,2011,9,8,97
BATON ROUGE / CAPITOL 001,2011,9,9,248
BATON ROUGE / CAPITOL 001,2011,9,10,228
BATON ROUGE / CAPITOL 001,2011,9,11,187
BATON ROUGE / CAPITOL 001,2011,9,12,148
BATON ROUGE / CAPITOL 001,2011,9,13,110
BATON ROUGE / CAPITOL 001,2011,9,14,93
BATON ROUGE / CAPITOL 001,2011,9,15,145
BATON ROUGE / CAPITOL 001,2011,9,16,125
BATON ROUGE / CAPITOL 001,2011,9,17,149
BATON ROUGE / CAPITOL 001,2011,9,18,136
BATON ROUGE / CAPITOL 001,2011,9,19,127
BATON ROUGE / CAPITOL 001,2011,9,20,107
BATON ROUGE / CAPITOL 001,2011,9,21,121
BATON ROUGE / CAPITOL 001,2011,9,22,82
BATON ROUGE / CAPITOL 001,2011,9,23,50
BATON ROUGE / CAPITOL 001,2011,9,24,153
BATON ROUGE / CAPITOL 001,2011,9,25,160
BATON ROUGE / CAPITOL 001,2011,9,26,89
BATON ROUGE / CAPITOL 001,2011,9,27,56
BATON ROUGE / CAPITOL 001,2011,9,28,93
BATON ROUGE / CAPITOL 001,2011,9,29,120
BATON ROUGE / CAPITOL 001,2011,9,30,80
BATON ROUGE / CAPITOL 001,2011,10,1,58
BATON ROUGE / CAPITOL 001,2011,10,2,59
BATON ROUGE / CAPITOL 001,2011,10,3,76
BATON ROUGE / CAPITOL 001,2011,10,4,120
BATON ROUGE / CAPITOL 001,2011,10,5,127
BATON ROUGE / CAPITOL 001,2011,10,6,118
BATON ROUGE / CAPITOL 001,2011,10,7,89
