Year,Parish,Rate,Count,Population
2015,Lafourche,56.4,62,98279
2015,Laqsalle,104,20,14975
2015,Lincoln,67.6,31,47469
2015,Livingston,79.7,114,137202
2015,Madison,73.4,68.5,11560
2015,Morehouse,67.1,23,26307
2015,Natchitoches,74.1,33,39018
2015,Orleans,55.1,234,390094
2015,Ouachita,81.9,141,156916
2015,Plaquemines,62.4,16,23462
2015,Pointe coupee,62.6,58.5,22197
2015,Rapides,62.8,101,131821
2015,Red river,74.4,62,8710
2015,Richland,86,23,20552
2015,Sabine,49.3,16,24213
2015,St bernard,114,44,45436
2015,St charles,42.6,25,52587
2015,St helena,50.15,20.5,10465
2015,St james,57.7,16,21483
2015,St john the baptist,76.3,35,43527
2015,St landry,69.4,68,83693
2015,St martin,65.4,41,53891
2015,St mary,70.7,45,52908
2015,St tammany,52.3,166,249116
2015,Tangipahoa,60.1,82,128774
2015,Tensas,68.55,85.5,4773
2015,Terrebonne,77,89,113894
2015,Union,50,16,22490
2015,Vermilion,78.9,54,59928
2015,Vernon,84.5,40,51535
2015,Washington,80.8,51,46365
2015,Webster,75.9,43,40067
2015,West baton rouge,93.5,27,25596
2015,West carroll,97.55,23.5,11287
2015,West feliciana,101.6,20,15376
2015,Winn,96,42,14646
2016,Acadia,90.4,64,62830
2016,Allen,66.9,21,25696
2016,Ascension,72.6,76,121646
2016,Assumption,71.9,21,22773
2016,Avoyelles,84.5,45,40970
2016,Beauregard,81.4,36,37028
2016,Bienville,70.85,60,13796
2016,Bossier,60.3,84,125946
2016,Caddo,72.6,227,249024
2016,Calcasieu,64.2,144,200780
2016,Caldwell,64.2,144,10069
2016,Cameron,78.6,163,6888
2016,Catahoula,78.6,163,9863
2016,Claiborne,78.6,163,16168
2016,Concordia,81.5,21,19971
2016,De soto,69.4,26,27194
2016,Eastbatonrouge,49.2,236,447020
2016,East carroll,49.2,236,7230
2016,East feliciana,78.6,163,19500
2016,Evangeline,61.4,24,33671
2016,Franklin,108,30,20393
2016,Grant,74.7,19,22324
2016,Iberia,48.7,42,72753
2016,Iberville,70.9,28,32865
2016,Jackson,98.3,22,15903
2016,Jefferson,69.3,382,436865
2016,Jefferson davis,72.1,29,31399
2016,Lafayette,53.2,129,241611
2016,Lafourche,63.9,78,98493
2016,Laqsalle,62.1,54,15028
2016,Lincoln,60.3,30,47520
2016,Livingston,63.1,92,139822
2016,Madison,78.75,62.5,11497
2016,Morehouse,94.4,33,25911
2016,Natchitoches,56.9,26,39016
2016,Orleans,49.7,221,392265
2016,Ouachita,83.9,149,156948
2016,Plaquemines,62.1,54,23360
2016,Pointe coupee,62.1,54,22126
2016,Rapides,55.4,88,131838
2016,Red river,70.3,55,8618
2016,Richland,85.2,22,20458
2016,Sabine,54.6,19,24054
2016,St bernard,86.8,43,45789
2016,St charles,50.7,27,52809
2016,St helena,56.2,22.5,10402
2016,St james,61.7,18,21428
2016,St john the baptist,46.4,25,43441
2016,St landry,70.3,71,83885
2016,St martin,71.3,47,53829
2016,St mary,69.1,45,52064
2016,St tammany,64.8,204,252676
2016,Tangipahoa,66.5,98,130759
2016,Tensas,70.1,95.5,4652
2016,Terrebonne,73.7,93,113071
2016,Union,65.1,21,22514
2016,Vermilion,60.4,43,60120
2016,Vernon,85.3,41,51666
2016,Washington,76,45,46414
2016,Webster,83.7,48,39750
2016,West baton rouge,73.1,22,25942
2016,West carroll,79.4,19.5,11144
2016,West feliciana,85.7,17,15322
2016,Winn,80.5,37.5,14539
2017,Acadia,75.3,58,62581
2017,Allen,77.1,23,25595
2017,Ascension,59.7,70,123237
2017,Assumption,54.4,16,22586
2017,Avoyelles,75.6,42,40840
2017,Beauregard,81.5,37,36885
2017,Bienville,75.95,68,13640
2017,Bossier,70.4,99,127011
2017,Caddo,67.4,215,246177
2017,Calcasieu,72.4,174,202653
2017,Caldwell,62.1,54,9962
2017,Cameron,62.1,54,6935
2017,Catahoula,62.1,54,9812
2017,Claiborne,89.1,20,15964
2017,Concordia,62.1,54,19850
2017,De soto,62.1,54,27281
2017,Eastbatonrouge,54.9,263,444848
2017,East carroll,65.45,142,7117
2017,East feliciana,76,21,19383
2017,Evangeline,65.1,28,33655
2017,Franklin,65.05,23,20265
2017,Grant,65,18,22330
2017,Iberia,82.6,70,71805
2017,Iberville,82.8,34,32927
2017,Jackson,89.2,20,15927
2017,Jefferson,54.7,302,436571
2017,Jefferson davis,73.8,29,31502
2017,Lafayette,57.1,145,242039
2017,Lafourche,66.2,80,98078
2017,Laqsalle,129.8,23,14893
2017,Lincoln,45.5,23,47494
2017,Livingston,64.9,99,137907
2017,Madison,72.1,63.5,11349
2017,Morehouse,79.3,28,25664
2017,Natchitoches,72.6,35,39051
2017,Orleans,55.1,254,391819
2017,Ouachita,61.7,110,155913
2017,Plaquemines,89.3,23,23376
2017,Pointe coupee,43.9,16,22170
2017,Rapides,79.4,128,131272
2017,Red river,73.7,72.5,8523
2017,Richland,68,17,20421
2017,Sabine,53.1,18,23913
2017,St bernard,60.3,30,46120
2017,St charles,53.8,32,52629
2017,St helena,56.3,25,10333
2017,St james,58.8,18,21377
2017,St john the baptist,59.7,30,43356
2017,St landry,70.5,75,83582
2017,St martin,75,49,54125
2017,St mary,73.8,51,50673
2017,St tammany,60.2,197,256212
2017,Tangipahoa,66.3,98,132445
2017,Tensas,78.7,108,4572
2017,Terrebonne,91.1,118,111880
2017,Union,102,35,22391
2017,Vermilion,59.6,46,59937
2017,Vernon,83.1,39,49941
2017,Washington,66.1,45,46678
